pincode,city,rainfall,temperature,aqi,traffic,platform_down,historical_orders,current_orders,income,incentive,total_income,disruption_label
600001,Chennai,28.56636542947862,41.44895145284902,119.30997686511672,0.3100874214361124,False,113,90,2700,500,3200,0
560001,Bangalore,14.906070110866294,25.792391452744706,233.51717199441762,0.7159541021077216,False,99,99,2970,500,3470,0
500081,Hyderabad,4.534645403500587,25.818033032016295,333.4946778029684,0.41840168962354857,True,141,56,1680,500,2180,1
641001,Coimbatore,73.02691133816015,26.08388279155494,229.1233453068966,0.76375051385944,False,98,78,2340,500,2840,0
625001,Madurai,21.522131657351245,32.530233934957714,145.62852034459888,0.8604698905826493,False,115,92,2760,500,3260,0
600001,Chennai,95.2792856305953,43.77984987079989,125.29908017070478,0.817068997012532,False,116,92,2760,500,3260,0
625001,Madurai,134.83776374953823,25.651605798748946,273.54422656944917,0.8932495313876372,False,98,48,1440,500,1940,1
560001,Bangalore,74.57051483815303,25.475596274811107,283.24603701060187,0.3260400713481259,False,120,120,3600,500,4100,0
641035,Coimbatore,70.03619672510537,25.116193434320643,144.2813095309172,0.7031398280010495,False,84,67,2010,500,2510,0
641035,Coimbatore,149.91450751571563,35.222100789139596,66.933873090524,0.4564831665171105,False,112,78,2340,500,2840,1
625020,Madurai,63.88830270335238,38.1656464839114,59.690867897505015,0.5459886222240519,False,123,123,3690,500,4190,0
625001,Madurai,101.66222920926374,34.44230460599611,200.08321748336897,0.7370528471971135,True,119,35,1050,500,1550,1
600001,Chennai,128.949466435524,33.495233649734345,318.591930239822,0.6397139770322893,False,109,54,1620,500,2120,1
641035,Coimbatore,70.65286867860682,26.35030627030298,202.49770505645142,0.8505786512977307,False,115,92,2760,500,3260,0
625001,Madurai,22.88516489170783,33.077418045853705,88.65600536942807,0.7319582646492842,False,148,118,3540,500,4040,0
625001,Madurai,54.809646223213825,37.01722901304635,209.2087400877835,0.8526787907760918,False,98,78,2340,500,2840,0
500081,Hyderabad,30.167463774786363,27.017876940809366,280.65759356627086,0.7819322560807598,False,86,86,2580,500,3080,0
600001,Chennai,16.69569992127848,38.81595161278756,330.43306399364695,0.7450191971565915,False,137,109,3270,500,3770,0
625020,Madurai,16.994189106641382,35.876935516614864,273.93389425440483,0.349990526833729,False,133,133,3990,500,4490,0
600100,Chennai,59.95156180685628,33.70354614967988,273.9668508489575,0.709027533541482,True,118,70,2100,500,2600,1
625001,Madurai,80.85706152635008,41.923834400113705,204.1645645352193,0.5575864788960896,False,145,72,2160,500,2660,1
560034,Bangalore,134.83169874570473,27.237695966637506,218.17451219423396,0.8859080199103935,False,95,66,1980,500,2480,1
560001,Bangalore,41.73840398337635,38.150929420147065,92.1087652526715,0.44054031311082015,False,97,97,2910,500,3410,0
625001,Madurai,96.22932605901048,26.10197208745221,132.1367707670691,0.3378575963710424,False,83,58,1740,500,2240,1
500081,Hyderabad,108.65358275246619,28.013901672860662,100.46121098179601,0.6627354764627986,False,134,93,2790,500,3290,1
625001,Madurai,7.49145915881087,31.274098900852245,144.64473288458453,0.5671010320377509,False,121,121,3630,500,4130,0
641035,Coimbatore,144.85526818496658,39.05947769528313,182.11313158056913,0.46581360551907175,False,123,86,2580,500,3080,1
625001,Madurai,53.75046303228545,25.071451622071525,110.77919335649429,0.8888210699676262,False,140,112,3360,500,3860,0
641001,Coimbatore,39.407831892703044,29.815328687515724,84.22686641986444,0.4516279759996886,False,99,99,2970,500,3470,0
500001,Hyderabad,51.63152052662129,41.67561415252392,136.16309458467077,0.4323058136884004,False,93,74,2220,500,2720,0
500001,Hyderabad,113.90126684927493,27.854433382668418,80.45044962421788,0.5948368056425644,False,93,65,1950,500,2450,1
600020,Chennai,91.81646854248916,30.056743716744194,356.2023817979545,0.471933715985159,False,122,97,2910,500,3410,0
500001,Hyderabad,146.2536930228413,38.260843251898656,234.43874587434166,0.7588124060516657,False,126,88,2640,500,3140,1
500001,Hyderabad,25.835369252389768,42.366091111372135,397.67906403364253,0.8451237723732248,False,95,38,1140,500,1640,1
500001,Hyderabad,24.236113519371187,35.29197558595919,234.58722369509658,0.8001325707898062,False,145,116,3480,500,3980,0
560001,Bangalore,107.2903123400111,36.681672916901704,104.56911737280555,0.7486339815814348,False,112,78,2340,500,2840,1
600020,Chennai,141.28560618045663,30.87085522991812,154.41245100824523,0.9020550629643036,False,150,74,2220,500,2720,1
560001,Bangalore,62.173390395671525,35.67751842065815,124.90290916143469,0.31110246555739285,False,91,91,2730,500,3230,0
641035,Coimbatore,146.4909636674767,36.74054930078321,78.54606062601083,0.9543889781956754,False,136,67,2010,500,2510,1
600100,Chennai,86.48465481606965,25.634639913989766,205.1712682540944,0.6557355424460737,False,95,95,2850,500,3350,0
500081,Hyderabad,129.16507817937406,39.70675466003639,391.7518874284832,0.7040472646388121,False,80,39,1170,500,1670,1
641035,Coimbatore,32.03495541058218,26.84649994999036,292.99205127939445,0.41627134273756783,True,117,70,2100,500,2600,1
641035,Coimbatore,149.25941419837613,39.654644236756454,91.72060817300073,0.8850927377866287,False,106,52,1560,500,2060,1
560001,Bangalore,77.2589189517294,30.38957494421131,90.55629366361136,0.892210034335069,False,119,119,3570,500,4070,0
600100,Chennai,58.094394576473704,40.83666925525496,364.39508274454664,0.5280064979332947,False,134,80,2400,500,2900,1
600001,Chennai,68.38217691664218,44.19575200809802,357.3629365562367,0.5337240553036625,False,120,72,2160,500,2660,1
600001,Chennai,54.185777634504035,42.666385527057145,272.98159328930757,0.9005402724949447,False,144,86,2580,500,3080,1
500081,Hyderabad,83.38428610553757,37.02053521706055,270.97954067923706,0.5455263446067731,True,103,61,1830,500,2330,1
600001,Chennai,51.49058415913939,40.06340636444456,254.94748535718557,0.6083707442518873,False,95,76,2280,500,2780,0
600100,Chennai,99.72813884173334,25.881049925310208,367.47034276453195,0.3148161389761503,True,136,54,1620,500,2120,1
500001,Hyderabad,89.98822568351183,31.31513204314853,370.471147847266,0.623397278128601,False,92,45,1350,500,1850,1
500081,Hyderabad,95.27958305393408,44.364640715513346,106.53153749248594,0.6566418060208508,False,93,46,1380,500,1880,1
636001,Salem,26.946543262037874,34.57045967878564,262.9075570904564,0.5634701939011693,False,143,143,4290,500,4790,0
625020,Madurai,57.249391084572956,27.899657035501804,136.43678272781315,0.37689095710940834,False,144,144,4320,500,4820,0
500081,Hyderabad,25.956686067567535,35.247152001414065,280.42464405995963,0.4994461058869172,False,122,122,3660,500,4160,0
625020,Madurai,121.26908667359548,38.85429940670644,194.60768812689346,0.7901606105140102,False,80,39,1170,500,1670,1
641001,Coimbatore,113.801727747834,33.13532767743886,52.54266039867242,0.38629510518055066,False,102,71,2130,500,2630,1
600001,Chennai,137.58780000455516,28.417269664125794,347.0028309777641,0.42711613984020125,False,139,69,2070,500,2570,1
636001,Salem,1.9420207070347195,42.31313450134006,200.77475029112023,0.5427916394473837,False,90,72,2160,500,2660,0
500081,Hyderabad,18.912976169747246,26.046247303731647,310.99830984046423,0.41498219463055885,False,135,108,3240,500,3740,0
600020,Chennai,138.56500673836672,29.788423786341035,293.6081150196014,0.7346999899976185,False,136,95,2850,500,3350,1
625020,Madurai,141.06218412125412,27.688368466021146,154.19047126176986,0.310929254883336,False,116,81,2430,500,2930,1
500001,Hyderabad,55.134840696504945,25.30701361537116,332.9395463550069,0.43949633138996147,False,127,101,3030,500,3530,0
625001,Madurai,14.098148392578674,29.59089749312331,212.27244733602421,0.33227587123964725,False,139,139,4170,500,4670,0
600020,Chennai,76.2878670251496,40.38051210691523,354.44245325288244,0.5191121423630186,False,143,85,2550,500,3050,1
625001,Madurai,117.37020370267709,25.000112885157616,367.713400104177,0.7440350195429452,False,114,34,1020,500,1520,1
625020,Madurai,110.51121449063456,35.95370258016743,319.88839926572905,0.5459248324189422,False,80,39,1170,500,1670,1
500001,Hyderabad,31.013857699432197,32.32703524529151,377.36251629600923,0.3486756156554707,False,89,71,2130,500,2630,0
600020,Chennai,143.05414459753632,31.05779687268671,219.58648149829202,0.8503996529773841,False,123,61,1830,500,2330,1
625001,Madurai,7.66543090890498,25.61303022251861,224.52395045136043,0.8127169914353782,False,80,64,1920,500,2420,0
625001,Madurai,53.43655690277306,29.42868963931241,378.2081336098777,0.4996009125405837,False,106,84,2520,500,3020,0
500001,Hyderabad,28.145935952709632,33.991363085672155,316.63467558046574,0.4355920448099862,False,127,101,3030,500,3530,0
600020,Chennai,47.09269512902242,43.10913751270254,140.27193676863413,0.7969078257333055,False,81,64,1920,500,2420,0
600100,Chennai,129.58830402319342,29.945527078349603,159.3444051127758,0.9741221806619882,False,139,69,2070,500,2570,1
560034,Bangalore,138.25686439418493,31.333787337558373,168.52039107650933,0.4778551519229877,False,88,61,1830,500,2330,1
641035,Coimbatore,24.574615621080316,35.518052238718525,196.27367679084864,0.5448500062313238,False,134,134,4020,500,4520,0
